26:12:010301:782,86.6
26:12:010301:794,86.8
26:12:010301:793,78.5
26:12:010301:789,53.8
26:12:010301:796,53.9
26:12:010301:800,86.8
26:12:010301:801,54.3
26:12:010301:795,86.9
26:12:010301:808,71.7
26:12:010301:806,87.6
26:12:010301:807,55.1
26:12:010301:827,75.2
26:12:010301:815,75.4
26:12:010301:790,71.6
26:12:010301:788,90.5
26:12:010301:802,71.1
26:12:010301:823,71.2
26:12:010301:830,87.6
26:12:010301:3045,60.4
26:12:010301:825,87.2
26:12:010301:784,71.2
26:12:010301:812,87
26:12:010301:813,57.9
26:12:010301:820,70.9
26:12:010301:826,53.8
26:12:010301:814,71.1
26:12:010301:818,87.4
26:12:010301:832,70.9
26:12:010301:2910,32.3
26:12:010301:3261,7277.1
26:12:010301:819,53.5
26:12:010301:831,53.9
26:12:010301:2874,32.3
26:12:010301:2903,58.1
26:12:010301:2906,58.9
26:12:010301:2932,32.1
26:12:010301:2931,58.3
26:12:010301:2928,32.5
26:12:010301:2875,80.2
26:12:010301:2907,59.5
26:12:010301:816,54.2
26:12:010301:2890,32.2
26:12:010301:2887,79.8
26:12:010301:2930,59.6
26:12:010301:2927,78.7
26:12:010301:2900,57.9
26:12:010301:2893,59.3
26:12:010301:2898,32
26:12:010301:2879,31.6
26:12:010301:2892,31.7
26:12:010301:2853,31.5
26:12:010301:2923,31.9
26:12:010301:2897,78.8
26:12:010301:2920,59.2
26:12:010301:2856,31.9
26:12:010301:2881,78.3
26:12:010301:2883,59.3
26:12:010301:2855,57.8
26:12:010301:3438,22.9
26:12:010301:3015,78.8
26:12:010301:2698,32.8
26:12:010301:2894,31.9
26:12:010301:2852,59.3
26:12:010301:2885,58.1
26:12:010301:3014,31.9
26:12:010301:2857,78.5
26:12:010301:3038,31.6
26:12:010301:2859,58
26:12:010301:3036,59.5
26:12:010301:3027,31.5
26:12:010301:3025,78.6
26:12:010301:2778,32.8
26:12:010301:2882,58.8
26:12:010301:3034,31.9
26:12:010301:2884,78.7
26:12:010301:2876,31.4
26:12:010301:2880,32.2
26:12:010301:2699,22.4
26:12:010301:3021,57.5
26:12:010301:2944,57.1
26:12:010301:3020,65.3
26:12:010301:2971,78.6
26:12:010301:2933,57.5
26:12:010301:2909,57.7
26:12:010301:2938,31.9
26:12:010301:3030,78.4
26:12:010301:2709,33.1
26:12:010301:3033,32
26:12:010301:3050,31.9
26:12:010301:3032,58.8
26:12:010301:3031,57.5
26:12:010301:2819,33
26:12:010301:3028,31.5
26:12:010301:3018,59
26:12:010301:2828,22.2
26:12:010301:2822,33
26:12:010301:3010,38.4
26:12:010301:2793,33.3
26:12:010301:2886,31.8
26:12:010301:3026,31.9
26:12:010301:2970,59.2
26:12:010301:2949,78.7
26:12:010301:3000,31.5
26:12:010301:2861,78.5
26:12:010301:2860,31.5
26:12:010301:2868,59.4
26:12:010301:3011,34.7
26:12:010301:3049,57.5
26:12:010301:2959,57.6
26:12:010301:2986,33.3
26:12:010301:2995,62.4
26:12:010301:3024,15.6
26:12:010301:3022,24.4
26:12:010301:2996,33.3
